year,epi_week,lga,confirmed_cases,data_source,date,rainfall_weekly,temp_mean,temp_max,temp_min,humidity_mean,pop_density,population,water_access,sanitation_access,open_defecation,mpi,elevation_m,dist_coast_km,dist_river_km
2019,4,Akoko North-East,0,WHO_literature,2019-01-28,10.92,25.428571428571427,32.01,19.19,77.12857142857142,285,187,62,48,28,0.312,387,187,8
2019,5,Akoko North-East,0,WHO_literature,2019-02-04,19.75,25.240000000000002,31.97,20.33,82.08285714285715,285,187,62,48,28,0.312,387,187,8
2019,6,Akoko North-East,0,WHO_literature,2019-02-11,1.72,25.074285714285715,31.45,18.27,70.60714285714286,285,187,62,48,28,0.312,387,187,8
2019,7,Akoko North-East,0,WHO_literature,2019-02-18,0.21000000000000002,24.58142857142857,32.56,17.68,59.08142857142857,285,187,62,48,28,0.312,387,187,8
2019,8,Akoko North-East,0,WHO_literature,2019-02-25,5.96,25.31714285714286,32.14,20.53,80.94142857142857,285,187,62,48,28,0.312,387,187,8
2019,9,Akoko North-East,0,WHO_literature,2019-03-04,8.81,24.91142857142857,31.96,20.19,80.11,285,187,62,48,28,0.312,387,187,8
2019,10,Akoko North-East,0,WHO_literature,2019-03-11,21.78,25.56142857142857,31.01,21.53,84.82285714285715,285,187,62,48,28,0.312,387,187,8
2019,11,Akoko North-East,0,WHO_literature,2019-03-18,3.5300000000000002,26.43,32.85,22.46,82.2942857142857,285,187,62,48,28,0.312,387,187,8
2019,12,Akoko North-East,0,WHO_literature,2019-03-25,9.37,26.292857142857144,33.31,22.22,83.51428571428572,285,187,62,48,28,0.312,387,187,8
2019,13,Akoko North-East,0,WHO_literature,2019-04-01,2.36,26.21,32.02,22.34,84.4057142857143,285,187,62,48,28,0.312,387,187,8
2019,14,Akoko North-East,0,WHO_literature,2019-04-08,7.449999999999999,27.165714285714284,34.36,22.91,81.38428571428572,285,187,62,48,28,0.312,387,187,8
2019,15,Akoko North-East,0,WHO_literature,2019-04-15,18.16,25.771428571428572,32.6,21.43,83.41142857142857,285,187,62,48,28,0.312,387,187,8
2019,16,Akoko North-East,0,WHO_literature,2019-04-22,4.8,26.398571428571426,33.1,21.41,83.13142857142857,285,187,62,48,28,0.312,387,187,8
2019,17,Akoko North-East,0,WHO_literature,2019-04-29,14.580000000000002,26.615714285714287,32.85,23.2,84.48428571428572,285,187,62,48,28,0.312,387,187,8
2019,18,Akoko North-East,0,WHO_literature,2019-05-06,12.48,26.235714285714288,30.68,23.14,86.2,285,187,62,48,28,0.312,387,187,8
2019,19,Akoko North-East,0,WHO_literature,2019-05-13,55.03,25.89428571428571,30.77,22.41,86.78714285714285,285,187,62,48,28,0.312,387,187,8
2019,20,Akoko North-East,0,WHO_literature,2019-05-20,37.25,25.215714285714284,30.69,21.84,87.01857142857143,285,187,62,48,28,0.312,387,187,8
2019,21,Akoko North-East,0,WHO_literature,2019-05-27,25.96,25.611428571428572,30.71,22.37,87.39571428571428,285,187,62,48,28,0.312,387,187,8
2019,22,Akoko North-East,1,WHO_literature,2019-06-03,55.589999999999996,25.07857142857143,29.33,21.98,88.57142857142857,285,187,62,48,28,0.312,387,187,8
2019,23,Akoko North-East,1,WHO_literature,2019-06-10,63.730000000000004,24.754285714285714,29.84,21.51,89.74285714285715,285,187,62,48,28,0.312,387,187,8
2019,24,Akoko North-East,0,WHO_literature,2019-06-17,18.57,24.99142857142857,29.68,21.79,87.87714285714286,285,187,62,48,28,0.312,387,187,8
2019,25,Akoko North-East,0,WHO_literature,2019-06-24,32.4,25.322857142857142,30.36,22.12,88.27285714285713,285,187,62,48,28,0.312,387,187,8
2019,26,Akoko North-East,0,WHO_literature,2019-07-01,161.19,24.41857142857143,29.06,20.48,88.11,285,187,62,48,28,0.312,387,187,8
2019,27,Akoko North-East,1,WHO_literature,2019-07-08,17.68,24.905714285714286,29.84,21.36,88.96000000000001,285,187,62,48,28,0.312,387,187,8
2019,28,Akoko North-East,0,WHO_literature,2019-07-15,62.25,23.78142857142857,29.55,19.97,89.08571428571429,285,187,62,48,28,0.312,387,187,8
2019,29,Akoko North-East,0,WHO_literature,2019-07-22,46.57,24.11285714285714,28.95,20.7,88.64428571428572,285,187,62,48,28,0.312,387,187,8
2019,30,Akoko North-East,2,WHO_literature,2019-07-29,86.44,24.087142857142858,28.16,21.44,90.13571428571427,285,187,62,48,28,0.312,387,187,8
2019,31,Akoko North-East,0,WHO_literature,2019-08-05,44.68,23.801428571428573,29.34,20.76,89.81428571428572,285,187,62,48,28,0.312,387,187,8
2019,32,Akoko North-East,0,WHO_literature,2019-08-12,53.8,23.771428571428572,28.59,21.19,90.37142857142858,285,187,62,48,28,0.312,387,187,8
2019,33,Akoko North-East,0,WHO_literature,2019-08-19,35.43,24.18285714285714,28.2,21.2,89.03999999999999,285,187,62,48,28,0.312,387,187,8
2019,34,Akoko North-East,0,WHO_literature,2019-08-26,107.44,23.36285714285714,28.54,20.28,90.58,285,187,62,48,28,0.312,387,187,8
2019,35,Akoko North-East,0,WHO_literature,2019-09-02,92.57,23.821428571428573,27.88,20.66,89.42571428571429,285,187,62,48,28,0.312,387,187,8
2019,36,Akoko North-East,1,WHO_literature,2019-09-09,57.36,24.06142857142857,29.48,21.12,90.72571428571429,285,187,62,48,28,0.312,387,187,8
2019,37,Akoko North-East,0,WHO_literature,2019-09-16,127.30000000000001,24.03,28.08,20.75,90.58285714285715,285,187,62,48,28,0.312,387,187,8
2019,38,Akoko North-East,0,WHO_literature,2019-09-23,110.67,24.351428571428574,28.72,21.09,90.33428571428571,285,187,62,48,28,0.312,387,187,8
2019,39,Akoko North-East,0,WHO_literature,2019-09-30,92.94,24.207142857142856,28.93,20.69,90.71714285714286,285,187,62,48,28,0.312,387,187,8
2019,40,Akoko North-East,0,WHO_literature,2019-10-07,114.86,23.599999999999998,28.44,20.46,90.65714285714286,285,187,62,48,28,0.312,387,187,8
2019,41,Akoko North-East,0,WHO_literature,2019-10-14,217.92000000000002,23.768571428571427,27.78,20.81,92.75142857142858,285,187,62,48,28,0.312,387,187,8
2019,42,Akoko North-East,0,WHO_literature,2019-10-21,104.07,24.217142857142857,29.16,20.6,90.35142857142857,285,187,62,48,28,0.312,387,187,8
2019,43,Akoko North-East,0,WHO_literature,2019-10-28,81.0,24.254285714285714,29.62,19.98,89.12571428571428,285,187,62,48,28,0.312,387,187,8
2019,44,Akoko North-East,1,WHO_literature,2019-11-04,42.2,24.22142857142857,28.29,20.52,89.26142857142858,285,187,62,48,28,0.312,387,187,8
2019,45,Akoko North-East,0,WHO_literature,2019-11-11,6.390000000000001,25.801428571428573,30.43,21.54,80.51428571428572,285,187,62,48,28,0.312,387,187,8
2019,46,Akoko North-East,1,WHO_literature,2019-11-18,30.06,25.34714285714286,30.38,21.51,85.58571428571429,285,187,62,48,28,0.312,387,187,8
2019,47,Akoko North-East,0,WHO_literature,2019-11-25,6.39,25.767142857142858,30.91,21.28,83.29714285714286,285,187,62,48,28,0.312,387,187,8
2019,48,Akoko North-East,0,WHO_literature,2019-12-02,1.87,25.3,30.96,19.67,76.94285714285715,285,187,62,48,28,0.312,387,187,8
2019,49,Akoko North-East,0,WHO_literature,2019-12-09,71.79,24.827142857142857,30.36,18.89,78.38142857142857,285,187,62,48,28,0.312,387,187,8
2019,50,Akoko North-East,0,WHO_literature,2019-12-16,2.75,24.494285714285716,30.33,18.25,69.05285714285715,285,187,62,48,28,0.312,387,187,8
2019,51,Akoko North-East,0,WHO_literature,2019-12-23,0.01,24.368571428571432,31.09,17.44,61.55571428571428,285,187,62,48,28,0.312,387,187,8
2019,52,Akoko North-East,0,WHO_literature,2019-12-30,0.0,23.247142857142858,30.45,15.37,56.88714285714286,285,187,62,48,28,0.312,387,187,8
2020,1,Akoko North-East,0,WHO_literature,2020-01-06,0.0,21.391428571428573,29.52,14.59,64.28142857142858,285,187,62,48,28,0.312,387,187,8
2020,2,Akoko North-East,0,WHO_literature,2020-01-13,0.06,24.118571428571432,30.82,17.57,68.11,285,187,62,48,28,0.312,387,187,8
2020,3,Akoko North-East,0,WHO_literature,2020-01-20,0.02,24.434285714285714,31.9,16.6,61.1,285,187,62,48,28,0.312,387,187,8
2020,4,Akoko North-East,0,WHO_literature,2020-01-27,0.0,22.462857142857143,30.85,12.22,53.221428571428575,285,187,62,48,28,0.312,387,187,8
